id,sepostulo
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,0
547,0
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,1
559,1
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,1
596,1
597,0
598,1
599,0
600,0
601,0
602,1
603,1
604,0
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,0
613,1
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,1
625,0
626,0
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,0
643,1
644,1
645,0
646,0
647,1
648,0
649,0
650,1
651,1
652,1
653,1
654,0
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,0
674,0
675,0
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,0
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,1
703,1
704,0
705,1
706,1
707,1
708,0
709,1
710,0
711,0
712,1
713,1
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,1
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,0
753,0
754,1
755,1
756,0
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,1
804,0
805,0
806,0
807,1
808,1
809,1
810,0
811,1
